Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-4.026812793585447,-12.398149240770695,-5.8083732454765599,-11.269362664724895,-3.7177605727971407 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.047441927810675,-12.28099150294983,-5.794695053248915,-11.14586200041731,-3.743704056761744 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.071205306780527,-12.246980563167775,-5.816668442622131,-11.144460593648205,-3.7691124916781408 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.094603939446506,-12.21428471954733,-5.837300205799181,-11.14650166995699,-3.794420831184107 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.118001567301016,-12.183379387777528,-5.857253908093639,-11.149457588678729,-3.819735084365942 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.141419950909418,-12.154129205150781,-5.876966393652083,-11.152634930628551,-3.845026147899443 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-4.159125968150649,-12.03149919643153,-5.866941947141697,-11.059612550031716,-3.8694471128255469 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-4.176560495772214,-11.909006676356368,-5.856621926527623,-10.960236261830574,-3.8925214351268977 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-4.193195767746205,-11.78650113368057,-5.845964664127109,-10.860129036103843,-3.914343947144535 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.209093009823703,-11.664004641502772,-5.834632524699373,-10.759776516320813,-3.9352019407881517 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.2327342774360139,-11.664575729898339,-5.852555342070218,-10.757988308681945,-3.9565130339092069 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.255996382722501,-11.665009353371075,-5.871810149474527,-10.760483249722313,-3.979091800587278 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.279714173177381,-11.6654779570984,-5.890909404471756,-10.764058638091399,-4.0028350739211799 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.303815300329461,-11.665950263196813,-5.910259506831039,-10.768064737698922,-4.027314218699334 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.325493687903323,-11.637964338315238,-5.928749003215955,-10.769859809604498,-4.051772487569322 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.3473547877555129,-11.611430403921585,-5.946404972836831,-10.770855890678604,-4.0757797406865 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.369034396699002,-11.586235671079042,-5.963990662954075,-10.771693406876466,-4.0993177630734 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.390475477143132,-11.562298241430698,-5.981391124751781,-10.77243093679806,-4.122503960334114 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-4.41323052190733,-11.516245984937747,-5.98547254854202,-10.744825581506575,-4.145880633485989 
 01/01  07:30:00,-10.3,11.491455641975012,1.0,22.819555959623899,1.0,22.819555959623899,11.491455641975012,-4.3452254599213779,-9.844075266043302,-5.734537470274461,-10.503710352191036,-4.160306338920372 
 01/01  07:45:00,-10.15,56.74260596080494,1.0,109.75755355442667,1.0,109.75755355442667,56.74260596080494,-4.031331450088878,-3.4987423912356019,-4.6924362828634689,-9.648033385975282,-4.141798834178171 
 01/01  08:00:00,-10.0,104.04505477979899,1.0,195.8764694434918,1.0,195.8764694434918,104.04505477979899,-3.6758216734663344,2.9959802461157576,-3.5242503370747046,-8.746695629629244,-4.085277271998704 
 01/01  08:15:00,-9.725,152.01715929425155,1.0,278.97248314719988,1.0,278.97248314719988,152.01715929425155,-3.4118106382119408,8.191922097271713,-2.467554678658189,-7.936836366208013,-3.995616215536842 
 01/01  08:30:00,-9.45,203.3784746018625,1.0,364.91995730569456,1.0,364.91995730569456,203.3784746018625,-3.1188885045305629,13.274066927800586,-1.4111558491310917,-7.123867766110493,-3.880558030578562 
 01/01  08:45:00,-9.175,238.3555160452371,1.0,420.35879993239237,1.0,420.35879993239237,238.3555160452371,-2.9438080454318986,16.036131099051667,-0.6970704364049425,-6.592986974110829,-3.7524522198535785 
 01/01  09:00:00,-8.9,274.9080977413424,1.0,478.00138373643099,1.0,478.00138373643099,274.9080977413424,-2.7326286492619356,19.032579784330776,0.015316791401005503,-6.053473191872968,-3.616490876624704 
 01/01  09:15:00,-8.350000000000002,312.4388302131692,1.0,536.9185644770597,1.0,536.9185644770597,312.4388302131692,-2.5882829932509194,20.158048918177639,0.7922238290648238,-5.3316578666999139,-3.471023388253313 
 01/01  09:30:00,-7.800000000000001,351.36982863559788,1.0,598.0969199229219,1.0,598.0969199229219,351.36982863559788,-2.42730962516214,21.41675823936527,1.5737502852992407,-4.602244967286083,-3.318990005059249 
 01/01  09:45:00,-7.25,377.52952179418505,1.0,637.6133352894237,1.0,637.6133352894237,377.52952179418505,-2.3267976667937835,21.481805729811314,2.1380500812871334,-4.062317426783295,-3.170127994679467 
 01/01  10:00:00,-6.7,403.3000247609816,1.0,676.6412284283772,1.0,676.6412284283772,403.3000247609816,-2.2143857785797378,21.646240680973606,2.6790596240015249,-3.5167703672021846,-3.0297063047628867 
